date,n_eventos,categoria_top
2026-04-22,11,Miscellaneous
2026-04-23,12,Miscellaneous
2026-04-24,13,Miscellaneous
2026-04-25,19,Miscellaneous
2026-04-26,20,Miscellaneous
2026-04-28,13,Miscellaneous
2026-04-29,12,Miscellaneous
2026-04-30,12,Miscellaneous
2026-05-01,13,Miscellaneous
2026-05-02,19,Miscellaneous
2026-05-03,20,Miscellaneous
2026-05-05,14,Miscellaneous
2026-05-06,11,Miscellaneous
2026-05-07,12,Miscellaneous
2026-05-08,12,Miscellaneous
2026-05-09,19,Miscellaneous
2026-05-10,22,Miscellaneous
2026-05-12,14,Miscellaneous
2026-05-13,13,Miscellaneous
2026-05-14,12,Miscellaneous
2026-05-15,12,Miscellaneous
2026-05-16,19,Miscellaneous
2026-05-17,21,Miscellaneous
2026-05-18,1,Music
2026-05-19,12,Miscellaneous
2026-05-20,12,Miscellaneous
2026-05-21,12,Miscellaneous
2026-05-22,15,Miscellaneous
2026-05-23,22,Miscellaneous
2026-05-24,20,Miscellaneous
2026-05-26,14,Miscellaneous
2026-05-27,13,Miscellaneous
2026-05-28,13,Miscellaneous
2026-05-29,13,Miscellaneous
2026-05-30,19,Miscellaneous
2026-05-31,20,Miscellaneous
2026-06-02,12,Miscellaneous
2026-06-03,11,Miscellaneous
2026-06-04,12,Miscellaneous
2026-06-05,12,Miscellaneous
2026-06-06,19,Miscellaneous
2026-06-07,20,Miscellaneous
2026-06-08,1,Arts & Theatre
2026-06-09,12,Miscellaneous
2026-06-10,11,Miscellaneous
2026-06-11,12,Miscellaneous
2026-06-12,13,Miscellaneous
2026-06-13,19,Miscellaneous
2026-06-14,20,Miscellaneous
2026-06-16,12,Miscellaneous
2026-06-17,11,Miscellaneous
2026-06-18,12,Miscellaneous
2026-06-19,12,Miscellaneous
2026-06-20,19,Miscellaneous
2026-06-21,20,Miscellaneous
2026-06-23,12,Miscellaneous
2026-06-24,11,Miscellaneous
2026-06-25,12,Miscellaneous
2026-06-26,13,Miscellaneous
2026-06-27,19,Miscellaneous
2026-06-28,20,Miscellaneous
2026-06-30,12,Miscellaneous
2026-07-01,11,Miscellaneous
2026-07-02,12,Miscellaneous
2026-07-03,14,Miscellaneous
2026-07-04,19,Miscellaneous
2026-07-05,20,Miscellaneous
2026-07-07,12,Miscellaneous
2026-07-08,11,Miscellaneous
2026-07-09,11,Miscellaneous
